Date,Open,High,Low,Close,Volume
15-03-2024,4192.600098,4239,4177,4219.25,3373143
18-03-2024,4215.25,4254.75,4117.850098,4152.5,1526904
19-03-2024,4051.25,4058,3966.600098,3977.300049,8931209
20-03-2024,3986,4018,3960.199951,3970.899902,1817913
21-03-2024,3990.050049,4008.399902,3948,3972.949951,3829582
22-03-2024,3897,3938,3855,3910.899902,5852485
26-03-2024,3875,3946.699951,3871.449951,3877.5,3440925
27-03-2024,3888.5,3895,3829.399902,3840.899902,1968575
28-03-2024,3850.100098,3915,3840.5,3876.300049,4311783
01-04-2024,3897.699951,3933.300049,3888.050049,3916.75,1569676
02-04-2024,3890,3909.850098,3873,3883.800049,2142666
03-04-2024,3851,3981,3851,3947.300049,3973090
04-04-2024,3975.899902,4028.649902,3935.25,4003.300049,3394637
05-04-2024,3978,4002,3960.5,3979.25,1636819
08-04-2024,3983,4032.649902,3960,3972.550049,2302538
09-04-2024,3984,4015.850098,3925.050049,3946.550049,1876992
10-04-2024,3956.399902,3990.199951,3918,3984.649902,2101965
12-04-2024,3971,4013.350098,3945.5,4001.399902,4354821
15-04-2024,4001.399902,4064.199951,3919.050049,3941.199951,4200329
16-04-2024,3902,3928.699951,3862.850098,3872.800049,3051420
18-04-2024,3876.800049,3936,3850,3862,3476284
19-04-2024,3838,3852.550049,3800.899902,3826.199951,2957749
22-04-2024,3837,3878,3812,3864.600098,1728883
23-04-2024,3877.050049,3895,3860.600098,3874.699951,1807586
24-04-2024,3890,3898,3824.449951,3831.050049,1317312
25-04-2024,3811.199951,3873.649902,3811,3852.199951,2856271
26-04-2024,3855.149902,3876.800049,3802.550049,3821.350098,2039178
29-04-2024,3838,3877.800049,3819.199951,3870.199951,1110693
30-04-2024,3872,3881.75,3810,3820.649902,2203078
02-05-2024,3778.050049,3871.100098,3778.050049,3863.300049,2491044
03-05-2024,3890.149902,3893.600098,3797.600098,3843.399902,2962234
06-05-2024,3853,3939.949951,3853,3921.050049,2053831
07-05-2024,3930.800049,3988,3913.5,3978.949951,2062112
08-05-2024,3961,3984.300049,3938.600098,3976.949951,1247685
09-05-2024,3962,3971,3910.050049,3960.199951,1726486
10-05-2024,3962.600098,3973.600098,3885.050049,3893.899902,1672489
13-05-2024,3884.5,3955,3870,3947.800049,931326
14-05-2024,3936,3945.800049,3892.899902,3901.199951,1058317
15-05-2024,3904.5,3926.949951,3875.5,3880.399902,1115021
16-05-2024,3891.100098,3909.5,3843.5,3900.949951,2599399
17-05-2024,3919,3920,3830,3834.100098,2765804
21-05-2024,3830.600098,3844.75,3810.050049,3820.199951,1908117
22-05-2024,3835,3841.25,3817.550049,3832,1311168
23-05-2024,3840.949951,3905,3825.5,3893.449951,2095742
24-05-2024,3878.25,3883.800049,3844.300049,3849.5,1309452
27-05-2024,3855,3908.350098,3841.350098,3847.050049,1841538
28-05-2024,3858,3870,3830,3839.899902,1801993
29-05-2024,3848.899902,3848.899902,3800,3803.649902,1568095
30-05-2024,3777,3794.399902,3715.449951,3736.100098,2919230
31-05-2024,3740,3749.800049,3653.75,3670.949951,10956800
03-06-2024,3732.800049,3751.550049,3696,3702.850098,2156773
04-06-2024,3700,3745,3591.5,3715,3395997
05-06-2024,3716,3783.800049,3700,3746.449951,2799670
06-06-2024,3781,3839.899902,3741.5,3830.399902,4328036
07-06-2024,3837.300049,3915,3837.300049,3893.949951,4552445
10-06-2024,3895,3905.899902,3841.899902,3858.699951,1734661
11-06-2024,3845,3879.949951,3841,3852.100098,1419665
